etablissement;count;coordonnees
Paris 2;86;48.843225, 2.333434
Paris 8;51;48.944779, 2.362572
Bordeaux 3;49;44.794970, -0.616425
Aix;38;43.293755, 5.358005
Toulouse 2;35;48.944966, 2.363506
Nice;33;43.716985, 7.267068
Toulon;33;43.136473, 6.018682
Paris 4;31;48.848432, 2.343919
Sorbonne Paris Cite;31;48.956332, 2.341276
Paris 3;30;48.839839, 2.353870
Lille 3;27;50.627655, 3.126603
Lyon 2;26;45.750812, 4.837187
Marseille;26;43.293623, 5.358070
Grenoble;25;45.191480, 5.767204
Avignon;23;43.949245, 4.818142
Universite de Lorraine;23;48.696283, 6.176470
Franche-Comt_;18;47.240501, 6.022623
Toulouse 3;17;43.561954, 1.470030
Paris 13;16;48.956001, 2.342347
CNAM;14;48.866748, 2.355428
Paris 10;13;48.902116, 2.212061
Rennes 2;13;48.119629, -1.702198
Bourgogne;13;47.312909, 5.066064
Cote d'Azur;11;43.716323, 7.266351
Lyon 3;9;45.747187, 4.859749
Marseille 3;9;43.336923, 5.410927
Metz;9;49.120497, 6.162841
Valenciennes;9;50.323613, 3.512551
Grenoble Alpes;9;45.191351, 5.772797
Montpellier 3;8;43.633284, 3.870011
Antilles;7;16.224262, -61.528969
Strasbourg;7;48.579072, 7.766456
Clermont Auvergne;5;45.776171, 3.092465
Grenoble Alpes;4;45.191446, 5.767257
Guyane;4;4.932688, -52.301034
Lyon;4;45.749444, 4.837144
Sorbonne Universit_;4;48.848453, 2.343281
Cergy;3;49.039078, 2.076299
Marseille 2;3;43.333962, 5.410209
Paris 11;3;48.811777, 2.353329
Pontoise;3;49.039078, 2.076308
EHESS;2;48.846192, 2.328938
La Reunion;3;-20.893194, 55.442311
Limoges;2;45.826308, 1.258410
Paris Saclay;2;48.707625, 2.152910
T_l_com ParisTech (ENST);2;48.826285, 2.346420
Compiegne;1;49.415221, 2.819109
Lyon 1;1;45.725739, 4.825645
Montpellier;1;43.634167, 3.849501
Normandie;1;49.208661, -0.358614
Paris Est;1;48.840914, 2.587593
Pau;1;43.315080, -0.365635
Poitiers;1;46.586000, 0.346037
Reims;1;49.255918, 4.040850
Rennes 1;1;48.116025, -1.672997
St Quentin en Yvelines;1;48.780550, 2.044307
Toulouse 1;1;43.605346, 1.431165
Versailles;1;48.799645, 2.141552
